rank,species,epitope,arm,design,composite_score,iptm,complex_plddt,binder_ptm,binder_rmsd,confidence_score,pass
28,mouse,ecl1,mouse_ecl1,mouse_ecl1_0_s3,0.4324,0.1713,0.5153,0.7944,0.92,0.4464731216430664,False
29,human,ecl2,human_ecl2,human_ecl2_0_s6,0.4323,0.2124,0.5273,0.722,1.49,0.4642846286296844,False
30,mouse,composite,mouse_composite,mouse_composite_0_s4,0.4315,0.1778,0.562,0.7511,1.49,0.4851565361022949,False
31,mouse,ecl1,mouse_ecl1,mouse_ecl1_0_s1,0.425,0.0908,0.6235,0.8288,1.36,0.5169357657432556,False
32,mouse,composite,mouse_composite,mouse_composite_0_s0,0.4218,0.1981,0.5909,0.7562,2.9,0.5123347640037537,False
33,mouse,ecl1,mouse_ecl1,mouse_ecl1_0_s6,0.4164,0.0556,0.6005,0.8432,0.76,0.4915476441383362,False
34,human,ecl2,human_ecl2,human_ecl2_0_s4,0.4081,0.2211,0.5511,0.7376,3.37,0.4850890636444092,False
35,human,ecl1,human_ecl1,human_ecl1_0_s3,0.4072,0.1444,0.5467,0.7441,1.67,0.4662881791591644,False
36,human,ecl2,human_ecl2,human_ecl2_0_s1,0.406,0.1667,0.5666,0.7732,2.75,0.4866077601909637,False
37,human,ecl1,human_ecl1,human_ecl1_0_s6,0.4039,0.2351,0.5745,0.685,3.85,0.5066465735435486,False
38,mouse,ecl1,mouse_ecl1,mouse_ecl1_0_s4,0.397,0.1308,0.5727,0.7299,2.16,0.4843390882015228,False
39,human,ecl1,human_ecl1,human_ecl1_0_s7,0.3903,0.1097,0.5877,0.7733,2.57,0.4920789301395416,False
40,mouse,ecl1,mouse_ecl1,mouse_ecl1_0_s7,0.3874,0.1272,0.5157,0.7179,1.61,0.4379986226558685,False
41,mouse,composite,mouse_composite,mouse_composite_0_s5,0.3808,0.1794,0.5528,0.6949,3.5,0.4781420230865478,False
42,human,ecl1,human_ecl1,human_ecl1_0_s4,0.369,0.2469,0.5452,0.6289,10.54,0.4855529963970184,False
43,human,ecl1,human_ecl1,human_ecl1_0_s5,0.369,0.178,0.5364,0.6799,3.7,0.4646933972835541,False
44,human,composite,human_composite,human_composite_0_s5,0.3642,0.1559,0.5269,0.6689,3.22,0.4526715874671936,False
45,human,composite,human_composite,human_composite_0_s4,0.3527,0.1745,0.5259,0.6624,4.15,0.4555896818637848,False
46,human,ecl1,human_ecl1,human_ecl1_0_s0,0.3456,0.1383,0.5795,0.7179,4.91,0.491272509098053,False
47,human,composite,human_composite,human_composite_0_s2,0.3427,0.1957,0.5382,0.6211,6.43,0.4696522653102875,False
48,human,composite,human_composite,human_composite_0_s3,0.3276,0.1422,0.5367,0.6452,4.71,0.4577938020229339,False
